AC_MODEL,AC_TYPE_CODE
737-7EI (BBJ),6477
737-7EI(W) (BBJ),6477
737-7EJ(W) (BBJ),6477
737-7EL(W) (BBJ),6477
737-7EM(W) (BBJ),6477
737-7ET(W) (BBJ),6477
737-7FB(W) (BBJ),6477
737-7FE(W),6470
737-7FG(W) (BBJ),6477
737-7FY(W) (BBJ),6477
737-7GC(W) (BBJ),6477
737-7GE(W) (BBJ),6477
737-7GJ(W) (BBJ),6477
737-7GL(W),6470
737-7GV(W) (BBJ),6477
737-7H3(W) (BBJ),6477
737-7H4(W),6470
737-7H6(W) (BBJ),6477
737-7HB(W),6470
737-7HBC(W),6475
737-7HD(W) (BBJ),6477
737-7HE(W) (BBJ),6477
737-7HF(W) (BBJ),6477
737-7HJC,6479
737-7HJC(W),6479
737-7HX(W),6470
737-7HZ(W) (BBJ),6477
737-7JB (BBJ),6477
737-7JB(W) (BBJ),6477
737-7JF(W) (BBJ),6477
737-7JR (BBJ),6477
737-7JR(W) (BBJ),6477
737-7JU(W) (BBJ),6477
737-7JV(W) (BBJ),6477
737-7JW(W) (BBJ),6477
737-7JY(W) (BBJ),6477
737-7JZ(W) (BBJ),6477
737-7K2(W),6470
737-7K5(W),6470
737-7K9,6470
737-7K9(W),6470
737-7KG(W),6470
737-7KK(W) (BBJ),6477
737-7L9,6470
737-7L9(W),6470
737-7L9(W)(ETOPS),6470
737-7LT(W) (BBJ),6477
737-7LY(W),6470
737-7M2(W),6470
737-7ME(W),6470
737-7P3(W) (BBJ),6477
737-7Q8,6470
737-7Q8(W),6470
737-7Q8(W)(ETOPS),6470
737-7U8(W),6470
737-7V3(W),6470
737-7W0,6470
737-7W0(W),6470
737-7X2(W),6470
737-7X2(W)(ETOPS),6470
737-7Z5(W) (BBJ),6477
737-7Z9,6470
737-7Z9(W),6470
737-7ZF(W) (BBJ),6477
737-7ZH(W) (BBJ),6477
737-7ZW(W) (BBJ),6477
737-7ZX(W) (BBJ),6477
737-8 (BBJ2),6582
737-8(ETOPS),6580
737-800,6480
737-800(W),6480
737-800(W) (BBJ2),6482
737-800A (P-8A),6488
737-800A (P-8I),6488
737-804,6480
737-804(W),6480
737-808,6480
737-808(W),6480
737-808(W)(ETOPS),6480
737-809,6480
737-809(W),6480
737-81B,6480
737-81B(W),6480
737-81D(W),6480
737-81D(W)(ETOPS),6480
737-81M(W),6480
737-81Q,6480
737-81Q(BCF)(W),6485
737-81Q(W),6480
737-81Q(W)(ETOPS),6480
737-81Z(W),6480
737-823(W),6480
737-824,6480
737-824(W),6480
737-824(W)(ETOPS),6480
737-82K(W),6480
737-82R,6480
737-82R(W),6480
737-82Y(W),6480
737-82Z(W) (BBJ2),6482
737-832,6480
737-832(W),6480
737-838(W),6480
737-83N(BCF)(W),6485
737-83N(F)(W),6485
737-83N(W),6480
737-83N(W)(ETOPS),6480
737-83Z(W),6480
737-844(W),6480
737-846(W),6480
737-84G(W),6480
737-84P,6480
737-84P(BCF),6485
737-84P(BCF)(W),6485
737-84P(W),6480
737-84R(W),6480
737-84Y(W),6480
737-852(W),6480
737-858,6480
737-858(W),6480
737-85C(W),6480
737-85F,6480
737-85F(W),6480
737-85H(W),6480
737-85N(W),6480
737-85P,6480
737-85P(W),6480
737-85P(W)(ETOPS),6480
737-85R,6480
737-85R(W),6480
737-860(W),6480
737-866(W),6480
737-86D(W),6480
737-86J(F)(W),6485
737-86J(W),6480
737-86J(W)(ETOPS),6480
737-86N,6480
737-86N(BCF)(W),6485
737-86N(F)(W),6485
737-86N(W),6480
737-86N(W)(ETOPS),6480
737-86Q,6480
737-86Q(W),6480
737-86Q(W)(ETOPS),6480
737-86R,6480
737-86R(W),6480
737-86X(W),6480
737-87L(W),6480
737-881(W),6480
737-883,6480
737-883(W),6480
737-887(W),6480
737-88L(W),6480
737-890(W),6480
737-890(W)(ETOPS),6480
737-89L,6480
737-89L(W),6480
