AIRPORT_ICAO,AIRPORT_IATA,AIRPORT_NAME,AIRPORT_CITY,AIRPORT_CITY_CD,AIRPORT_STATE_CD,AIRPORT_COUNTRY_CD,AIRPORT_COUNTRY,AIRPORT_REGION,AIRPORT_REGION_TIMEZONE,UTC_HR_OFFSET,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,AIRPORT_ELEVATION,AIRPORT_SIZE,UPDATED_DT
SWFX,SXO,Sao Felix Do Araguaia Airport,Sao Felix Do Araguaia,SXO,MT,BR,Brazil,South America,America/Campo_Grande,-3,-11.6,-50.65,650,5,2017-12-13 18:29:45
SWGI,GRP,Gurupi Airport,Gurupi,GRP,TO,BR,Brazil,South America,America/Belem,-3,-11.666667,-49.216667,1138,5,2017-10-10 11:17:20
SWGN,AUX,Araguaina Airport,Araguaina,AUX,TO,BR,Brazil,South America,America/Belem,-3,-7.2,-48.2,771,4,2017-10-10 11:17:20
SWHT,HUW,Humaita Airport,Humaita,"","",BR,Brazil,South America,America/Porto_Velho,-4,-7.537679,-63.069795,184,4,2017-10-10 11:17:20
SWII,IPG,Ipiranga Airport,Ipiranga,IPG,AM,BR,Brazil,South America,America/Porto_Velho,-4,-3.216667,-65.95,131,5,2017-10-10 11:17:20
SWIY,IDO,Santa Isabel do Morro Airport,Santa Isabel do Morro,IDO,TO,BR,Brazil,South America,America/Belem,-3,-11.566667,-50.666667,647,5,2017-10-10 11:17:20
SWJI,JPR,Ji-Parana Airport,Ji-Parana,JPR,RO,BR,Brazil,South America,America/Porto_Velho,-4,-10.870556,-61.84667,594,4,2017-10-10 11:17:20
SWJN,JIA,Juina Airport,Juina,JIA,MT,BR,Brazil,South America,America/Campo_Grande,-3,-11.418348,-58.710139,1059,4,2017-12-13 18:29:45
SWJU,JRN,Juruena Airport,Juruena,JRN,MT,BR,Brazil,South America,America/Campo_Grande,-3,-10.305556,-58.488889,525,5,2017-12-13 18:29:45
SWKC,CCX,Caceres Airport,Caceres,CCX,MT,BR,Brazil,South America,America/Campo_Grande,-3,-16.066667,-57.7,492,5,2017-12-13 18:29:45
SWKO,CIZ,Coari Airport,Coari,CIZ,AM,BR,Brazil,South America,America/Porto_Velho,-4,-4.083333,-63.133333,131,4,2017-10-10 11:17:20
SWLB,LBR,Labrea Airport,Labrea,LBR,AM,BR,Brazil,South America,America/Porto_Velho,-4,-7.25,-64.85,190,5,2017-10-10 11:17:20
SWLC,RVD,Rio Verde Airport,Rio Verde,RVD,GO,BR,Brazil,South America,America/Sao_Paulo,-2,-17.716667,-50.933333,2464,4,2017-12-13 18:29:45
SWMW,MBZ,Maues Airport,Maues,MBZ,AM,BR,Brazil,South America,America/Porto_Velho,-4,-3.4,-57.7,69,5,2017-10-10 11:17:20
SWNA,NVP,Novo Aripuana Airport,Novo Aripuana,NVP,AM,BR,Brazil,South America,America/Porto_Velho,-4,-5.133333,-60.366667,118,5,2017-10-10 11:17:20
SWNI,AQM,Ariquemes Airport,Ariquemes,AQM,RO,BR,Brazil,South America,America/Porto_Velho,-4,-9.933333,-63.066667,410,5,2017-10-10 11:17:20
SWNQ,NQL,Niquelandia Airport,Niquelandia,NQL,GO,BR,Brazil,South America,America/Sao_Paulo,-2,-14,-48.983333,2756,5,2017-12-13 18:29:45
SWNS,APS,Anapolis Airport,Anapolis,APS,GO,BR,Brazil,South America,America/Sao_Paulo,-2,-16.360671,-48.924353,3652,5,2017-12-13 18:29:45
SWOB,FBA,Fonte Boa Airport,Fonte Boa,"","",BR,Brazil,South America,America/Porto_Velho,-4,-2.531212,-66.084539,200,4,2017-10-10 11:17:20
SWPG,PBV,Porto Dos Gauchos Airport,Porto Dos Gauchos,PBV,MT,BR,Brazil,South America,America/Campo_Grande,-3,-11.541461,-57.365343,875,5,2017-12-13 18:29:45
SWPI,PIN,Julio Belem Airport,Parintins,PIN,"",BR,Brazil,South America,America/Porto_Velho,-4,-2.673015,-56.777151,68,4,2017-10-10 11:17:20
SWPM,PBQ,Pimenta Bueno Airport,Pimenta Bueno,PBQ,RO,BR,Brazil,South America,America/Porto_Velho,-4,-11.7,-61.2,682,5,2017-10-10 11:17:20
SWRA,AAI,Arraias Airport,Arraias,AAI,TO,BR,Brazil,South America,America/Belem,-3,-12.916667,-46.933333,1923,5,2017-10-10 11:17:20
SWRD,ROO,Rondonopolis Airport,Rondonopolis,ROO,MT,BR,Brazil,South America,America/Campo_Grande,-3,-16.433333,-54.716667,1048,4,2017-12-13 18:29:45
SWSI,OPS,Sinop Airport,Sinop,OPS,MT,BR,Brazil,South America,America/Campo_Grande,-3,-11.878573,-55.58156,1280,4,2017-12-13 18:29:45
SWST,STZ,Confresa Airport,Santa Teresinha,STZ,MT,BR,Brazil,South America,America/Campo_Grande,-3,-10.300278,-50.45,663,5,2017-12-13 18:29:45
SWTY,QHN,Taguatinga,Taguatinga,"","",BR,Brazil,South America,America/Sao_Paulo,-2,-12.438889,-46.405556,2067,5,2017-12-13 18:29:45
SWVC,VLP,Vila Rica Municipal Airport,Vila Rica,VLP,MT,BR,Brazil,South America,America/Campo_Grande,-3,-10.015556,-51.122222,892,5,2017-12-13 18:29:45
SWXV,NOK,Nova Xavantina Airport,Nova Xavantina,NOK,MT,BR,Brazil,South America,America/Campo_Grande,-3,-14.690278,-52.348611,1035,5,2017-12-13 18:29:45
SYAH,AHL,Aishalton Airport,Aishalton,AHL,"",GY,Guyana,South America,America/Guyana,-4,2.483333,-59.316667,590,5,2017-10-10 11:17:20
SYAN,NAI,Annai Airport,Annai,NAI,"",GY,Guyana,South America,America/Guyana,-4,3.75,-59,304,5,2017-10-10 11:17:20
SYCJ,GEO,Cheddi Jagan International Airport,Georgetown,GEO,"",GY,Guyana,South America,America/Guyana,-4,6.503833,-58.253078,95,4,2017-10-10 11:17:20
SYGO,OGL,Ogle Airport,Georgetown,OGL,"",GY,Guyana,South America,America/Guyana,-4,6.807733,-58.105211,7,4,2017-10-10 11:17:20
SYIB,IMB,Imbaimadai Airport,Imbaimadai,IMB,"",GY,Guyana,South America,America/Guyana,-4,5.716667,-60.283333,1650,5,2017-10-10 11:17:20
SYKM,KAR,Kamarang Airport,Kamarang,KAR,"",GY,Guyana,South America,America/Guyana,-4,5.869577,-60.616292,1627,5,2017-10-10 11:17:20
SYKR,KRM,Karanambo Airport,Karanambo,KRM,"",GY,Guyana,South America,America/Guyana,-4,3.75,-59.316667,300,5,2017-10-10 11:17:20
SYKT,KTO,Kato Airport,Kato,KTO,"",GY,Guyana,South America,America/Guyana,-4,4.65,-59.816667,2300,5,2017-10-10 11:17:20
SYLP,LUB,Lumid Pau Airport,Lumid Pau,LUB,"",GY,Guyana,South America,America/Guyana,-4,2.4,-59.433333,550,5,2017-10-10 11:17:20
SYLT,LTM,Lethem Airport,Lethem,LTM,"",GY,Guyana,South America,America/Guyana,-4,3.371667,-59.79,350,5,2017-10-10 11:17:20
SYMD,MHA,Mahdia Airport,Mahdia,MHA,"",GY,Guyana,South America,America/Guyana,-4,5.25,-59.15,275,5,2017-10-10 11:17:20
SYOR,ORJ,Orinduik Airport,Orinduik,ORJ,"",GY,Guyana,South America,America/Guyana,-4,4.716667,-60.033333,1800,5,2017-10-10 11:17:20
TAPA,ANU,V.C. Bird International Airport,Antigua,ANU,"",AG,Antigua and Barbuda,Caribbean,America/Antigua,-4,17.139383,-61.791717,62,3,2017-10-10 11:17:20
TAPH,BBQ,Barbuda Codrington Airport,Barbuda,BBQ,"",AG,Antigua and Barbuda,Caribbean,America/Antigua,-4,17.636433,-61.826681,23,4,2017-10-10 11:17:20
TBPB,BGI,Grantley Adams International Airport,Bridgetown,BGI,"",BB,Barbados,Caribbean,America/Barbados,-4,13.080732,-59.487835,169,3,2017-10-10 11:17:20
TDCF,DCF,Canefield Airport,Dominica,DOM,"",DM,Dominica,Caribbean,America/Dominica,-4,15.339047,-61.391779,28,4,2017-10-10 11:17:20
TDPD,DOM,Melville Hall Airport,Dominica,DOM,"",DM,Dominica,Caribbean,America/Dominica,-4,15.545895,-61.300542,59,4,2017-10-10 11:17:20
TFFA,DSD,La Desirade Airport,La Desirade,DSD,"",GP,Guadeloupe,Caribbean,America/Guadeloupe,-4,16.333333,-61.016667,0,5,2017-10-10 11:17:20
TFFB,BBR,Baillif Airport,Basse Terre,BBR,"",GP,Guadeloupe,Caribbean,America/Guadeloupe,-4,16.016389,-61.739444,59,5,2017-10-10 11:17:20
TFFF,FDF,Martinique Aime Cesaire International Airport,Fort De France,FDF,"",MQ,Martinique,Caribbean,America/Martinique,-4,14.596061,-60.999948,16,4,2017-10-10 11:17:20
TFFG,SFG,Esperance Airport,Saint Martin,SFG,"",MF,Saint Martin,Caribbean,America/Marigot,-4,18.100555,-63.04889,1,4,2017-10-10 11:17:20
TFFJ,SBH,St. Barthelemy Airport,Saint Barthelemy,SBH,"",GP,Guadeloupe,Caribbean,America/Guadeloupe,-4,17.9044,-62.843601,49,3,2017-10-10 11:17:20
TFFM,GBJ,Les Bases Airport,Marie Galante,GBJ,"",GP,Guadeloupe,Caribbean,America/Guadeloupe,-4,15.869166,-61.272155,31,4,2017-10-10 11:17:20
TFFR,PTP,Pointe-a-Pitre Le Raizet Airport,Pointe-a-Pitre,PTP,"",GP,Guadeloupe,Caribbean,America/Guadeloupe,-4,16.265297,-61.531803,19,3,2017-10-10 11:17:20
TFFS,LSS,Les Saintes Airport,Terre-de-Haut,LSS,"",GP,Guadeloupe,Caribbean,America/Guadeloupe,-4,15.864594,-61.580187,33,4,2017-12-13 18:29:45
TGPY,GND,Maurice Bishop International Airport,"St. George's",GND,"",GD,Grenada,Caribbean,America/Grenada,-4,12.004167,-61.786111,42,4,2017-10-10 11:17:20
TIST,STT,Cyril E. King Airport,Saint Thomas,STT,"",VI,U.S. Virgin Islands,Caribbean,America/St_Thomas,-4,18.3375,-64.969444,24,2,2017-10-10 11:17:20
TISX,STX,Henry E. Rohlsen Airport,Saint Croix,STX,"",VI,U.S. Virgin Islands,Caribbean,America/St_Thomas,-4,17.701944,-64.798611,61,3,2017-10-10 11:17:20
TJBQ,BQN,Rafael Hernandez Airport,Aguadilla,BQN,"",PR,Puerto Rico,Caribbean,America/Puerto_Rico,-4,18.495347,-67.134133,238,4,2017-10-10 11:17:20
TJCP,CPX,Benjamin Rivera Noriega Airport,Culebra,CPX,"",PR,Puerto Rico,Caribbean,America/Puerto_Rico,-4,18.312074,-65.301716,7,4,2017-10-10 11:17:20
TJFA,FAJ,Diego Jimenez Torres Airport,Fajardo,FAJ,"",PR,Puerto Rico,Caribbean,America/Puerto_Rico,-4,18.31237,-65.65819,37,5,2017-10-10 11:17:20
TJIG,SIG,Fernando Luis Ribas Dominicci Airport,San Juan,SJU,"",PR,Puerto Rico,Caribbean,America/Puerto_Rico,-4,18.456006,-66.099306,10,4,2017-10-10 11:17:20
TJMZ,MAZ,Eugenio M. De Hostos Airport,Mayaguez,MAZ,"",PR,Puerto Rico,Caribbean,America/Puerto_Rico,-4,18.257778,-67.148889,29,4,2017-10-10 11:17:20
TJNR,NRR,Jose Aponte de la Torre Airport,Ceiba,NRR,"",PR,Puerto Rico,Caribbean,America/Puerto_Rico,-4,18.25,-65.638889,38,4,2017-10-10 11:17:20
TJPS,PSE,Mercedita Airport,Ponce,PSE,"",PR,Puerto Rico,Caribbean,America/Puerto_Rico,-4,18.010702,-66.563542,29,4,2017-10-10 11:17:20
TJSJ,SJU,Luis Munoz Marin International Airport,San Juan,SJU,"",PR,Puerto Rico,Caribbean,America/Puerto_Rico,-4,18.437403,-66.004683,10,2,2017-10-10 11:17:20
TJVQ,VQS,Antonio Rivera Rodriguez Airport,Vieques,VQS,"",PR,Puerto Rico,Caribbean,America/Puerto_Rico,-4,18.134088,-65.488031,44,3,2017-10-10 11:17:20
TKPK,SKB,Robert L. Bradshaw International Airport,Saint Kitts,SKB,"",KN,St. Kitts and Nevis,Caribbean,America/St_Kitts,-4,17.310843,-62.71397,170,4,2017-10-10 11:17:20
TKPN,NEV,Newcastle Airport,Nevis,NEV,"",KN,St. Kitts and Nevis,Caribbean,America/St_Kitts,-4,17.205,-62.5925,20,4,2017-10-10 11:17:20
TLPC,SLU,George F. L. Charles Airport,Saint Lucia,SLU,"",LC,Saint Lucia,Caribbean,America/St_Lucia,-4,14.020023,-60.99583,20,4,2017-10-10 11:17:20
TLPL,UVF,Hewanorra Airport,Saint Lucia,SLU,"",LC,Saint Lucia,Caribbean,America/St_Lucia,-4,13.735556,-60.952222,11,4,2017-10-10 11:17:20
TNCA,AUA,Reina Beatrix International Airport,Aruba,AUA,"",AW,Aruba,Caribbean,America/Aruba,-4,12.502222,-70.013889,60,3,2017-10-10 11:17:20
TNCB,BON,Flamingo International Airport,Bonaire,BON,"",BQ,Caribbean Netherlands,Caribbean,America/Curacao,-4,12.133403,-68.276873,20,4,2017-10-10 11:17:20
TNCC,CUR,Hato International Airport,Curacao,CUR,"",CW,Curacao,Caribbean,America/Curacao,-4,12.188858,-68.959805,36,3,2017-10-10 11:17:20
TNCE,EUX,F D Roosevelt Airport,Saint Eustatius,EUX,"",BQ,Caribbean Netherlands,Caribbean,America/Curacao,-4,17.493056,-62.977778,129,4,2017-10-10 11:17:20
TNCM,SXM,Princess Juliana International Airport,Sint Maarten,SXM,"",SX,Sint Maarten,Caribbean,America/Curacao,-4,18.041232,-63.108646,15,2,2017-10-10 11:17:20
TNCS,SAB,J. Yrausquin Airport,Saba,SAB,"",BQ,Caribbean Netherlands,Caribbean,America/Curacao,-4,17.65,-63.216667,60,4,2017-10-10 11:17:20
TQPF,AXA,Clayton J. Lloyd International Airport,Anguilla,AXA,"",AI,Anguilla,Caribbean,America/Anguilla,-4,18.205944,-63.051754,113,4,2017-10-10 11:17:20
